Stockpile Title	Stockpile Name	Structure Type	Quantity	Name	Crated?	Per Crate	Total	Description	CodeName
TheOldCaptain		Seaport	44	20mm	true	10	440	Standard ammunition for anti-tank rifles.	ATRifleAmmo
TheOldCaptain		Seaport	44	Sandbag	true	5	220	Used to construct Sandbag defenses.	SandbagMaterials
TheOldCaptain		Seaport	42	Radio Backpack	true	5	210	Automatically gathers map intel periodically when equipped.	RadioBackpack
TheOldCaptain		Seaport	39	Willow's Bane Ammo	true	10	390	Ammo for Willow’s Bane Model 845	FlameBackpackW
TheOldCaptain		Seaport	35	Gas Mask	true	20	700	Protects against poison gas	GasMask
TheOldCaptain		Seaport	29	7.92mm	true	30	870	Standard ammunition for Storm Rifles and Armoured Cars.	AssaultRifleAmmo
TheOldCaptain		Seaport	26	Metal Beam	true	5	130	Used to construct Metal Beam defenses.	MetalBeamMaterials
TheOldCaptain		Seaport	25	Fiddler Submachine Gun Model 868	true	20	500	The Fiddler Submachine Gun is a widely used urban combat weapon. Its high rate of fire and compact frame make it ideal for close-quarters engagements.	SMGW
TheOldCaptain		Seaport	25	20 Neville Anti-Tank Rifle	true	3	75	The Neville is unmatched in its versatility as a portable, magazine-based anti-armour firearm.	ATRifleW
TheOldCaptain		Seaport	24	Water Bucket	true	50	1200	A bucket that holds water. You can toss water onto fires to extinguish them.	WaterBucket
TheOldCaptain		Seaport	23	Shovel	true	10	230	A tool for digging Trenches and other entrenched structures.	Shovel
TheOldCaptain		Seaport	22	9mm	true	40	880	Standard ammunition for submachine guns.	SMGAmmo
TheOldCaptain		Seaport	22	Tripod	true	5	110	A mount point for deployable infantry weapons and equipment.	Tripod
TheOldCaptain		Seaport	22	Gentleman’s Peacoat	true	15	330	Seamen of the Caoivish Naval Command are always prepared to operate at the highest levels, even in frigid, northern waters. Every Warden sailor’s readiness paints a portrait of life or death; thus, cold-weather outerwear is an essential part of every CNC gentleman’s kit.	NavalUniformW
TheOldCaptain		Seaport	20	Gunner’s Breastplate	true	5	100	Repurposed from ancient wars, these armour plates are highly effective at stopping enemy small arms fire. That protection comes at the cost of weight, and the wearer will feel quite restricted and encumbered. 	ArmourUniformW
TheOldCaptain		Seaport	20	Buckhorn CCQ-18	true	20	400	Attached to the barrel of a rifle, this short blade can spear enemies in close quarters encounters.	Bayonet
TheOldCaptain		Seaport	17	68mm	true	20	340	Standard shell for anti-tank weapons.	ATAmmo
TheOldCaptain		Seaport	16	12.7mm	true	20	320	Standard ammunition for machine guns.	MGAmmo
TheOldCaptain		Seaport	16	No.2 Loughcaster	true	20	320	Standard-issue Warden rifle. This bolt-action firearm is as robust as they come and has seen over a century of use on the battlefield.	RifleW
TheOldCaptain		Seaport	16	120mm	true	5	80	Payload for light artillery weapons.	LightArtilleryAmmo
TheOldCaptain		Seaport	15	Listening Kit	true	5	75	A device used to intercept enemy radio broadcasts transmitted from nearby sources.	ListeningKit
TheOldCaptain		Seaport	13	Trauma Kit	true	10	130	Used by medics to revive wounded soldiers.	TraumaKit
TheOldCaptain		Seaport	12	Gas Mask Filter	true	20	240	When attached to a Gas Mask, this filter provides fresh air to the wearer.	GasMaskFilter
TheOldCaptain		Seaport	12	First Aid Kit	true	10	120	Used by medics to heal other soldiers.	FirstAidKit
TheOldCaptain		Seaport	11	Clancy Cinder M3	true	15	165	The Clancy Cinder is a classic, high-powered long rifle designed for use in mid-to-long range encounters. First deployed with the Hands during a high-risk operation in Acrithia.	RifleLongW
TheOldCaptain		Seaport	11	Caoivish Parka	true	15	165	Born and bred in the northern cold, this heavy parka protects Warden infantry from all but the worst blizzards.	SnowUniformW
TheOldCaptain		Seaport	11	30mm	true	20	220	Standard explosive shell used with certain small vehicles and infantry weapons.	MiniTankAmmo
TheOldCaptain		Seaport	10	Assembly Materials I	true	1	10	Specialized metal sheets forged using Coal that are required to assemble advanced vehicles and equipment.	FacilityMaterials4
TheOldCaptain		Seaport	9	PT-815 Smoke Grenade	true	10	90	A standard smoke grenade designed for concealing allied movement or screening the enemy’s vision.	SmokeGrenade
TheOldCaptain		Seaport	8	Wind Sock	true	5	40	A sturdy fabric cylinder mounted on a tripod that’s designed to help nearby operators determine the speed and direction of wind.	WindsockT
TheOldCaptain		Seaport	8	Buckshot	true	40	320	Standard ammunition for Shotguns.	ShotgunAmmo
TheOldCaptain		Seaport	8	Cometa T2-9	true	30	240	The Cometa T2-9 boasts remarkable stopping power for a sidearm. This Estrellan mainstay has lived through several generations due to its fine craftsmanship and design.	Revolver
TheOldCaptain		Seaport	8	ARC/RPG	true	15	120	An armour piercing projectile used with indirect RPG launchers.	ATRPGIndirectAmmo
TheOldCaptain		Seaport	7	Havoc Charge	true	5	35	A high-powered explosive charge that requires an accompanying detonator. The Havoc Charge is highly effective at demolishing large structures. The charge must be detonated via gunshot. The Havoc Charge’s true potential is unleashed when executing strategic demolitions at safe distances.	ExplosiveTripod
TheOldCaptain		Seaport	7	Sledge Hammer	true	10	70	A tool used to salvage components from remains of old vehicles and equipment.	SledgeHammer
TheOldCaptain		Seaport	6	Falias Raiding Club	true	10	60	A heavy mace constructed from solid wood and dotted with lead rivets. Commonly used when raiding entrenched positions in close quarters where firearms are less effective and an old-fashioned bludgeoning is better suited for the job.	MaceW
TheOldCaptain		Seaport	5	Construction Materials	true	20	100	Metal beams needed to produce basic structures, vehicles, and equipment at Facilities.	FacilityMaterials1
TheOldCaptain		Seaport	5	Copper Alloy	true	20	100	Copper Alloy can be used to produce Vehicle Prototypes at the Engineering Center.	CopperA
TheOldCaptain		Seaport	5	Bandages	true	50	250	Used to stem bleeding.	Bandages
TheOldCaptain		Seaport	5	No.4 The Pillory Scattergun	true	15	75	A hunting shotgun with a sawn-off barrel for higher stopping power and mobility at the expense of accuracy. This traditional civilian firearm can fire two shots in rapid succession before needing to be reloaded. It became a favourite sidearm among Caoivish Watchers and has since earned quite an ominous reputation as a result.	ShotgunW
TheOldCaptain		Seaport	5	AP/RPG	true	15	75	An armour piercing projectile used with specialized RPG launchers.	ATRPGAmmo
TheOldCaptain		Seaport	5	Blood Plasma	true	50	250	A blood component used to treat wounded soldiers on the battlefield.	BloodPlasma
TheOldCaptain		Seaport	4	Alligator Charge	true	10	40	This heavy-duty explosive device is designed to deal significant damage to fortified structures and stationary vehicles. 	SatchelChargeW
TheOldCaptain		Seaport	4	.44	true	40	160	Standard ammunition for revolvers.	RevolverAmmo
TheOldCaptain		Seaport	4	Officer’s Regalia	true	3	12	A formal uniform that denotes a regiment’s leading officer. While impractical, the officer on duty may use their authority to discipline subordinates without reparation. Officers hold an important role in the Warden military, dating back to ancient times when Caoiva was ruled by a dozen kings.	OfficerUniformW
TheOldCaptain		Seaport	4	Green Ash Grenade	true	10	40	Green Ash is an asphyxiating toxin. Inhaling it without protection will result in a quick death. Be sure to wear a gas mask with fresh filters when handling Green Ash.	GreenAsh
TheOldCaptain		Seaport	3	The Hangman 757	true	20	60	The weapon of choice for pirates and smugglers, its legend is well-earned. With incredibly high stopping power and unique revolver mechanism, the Hangman often plays judge, jury, and executioner.	RifleHeavyW
TheOldCaptain		Seaport	3	Anti-Tank Sticky Bomb	true	10	30	An adherable grenade designed to penetrate heavy tank armor. The Sticky Bomb can only be thrown a short distance and is ineffective against structures.	StickyBomb
TheOldCaptain		Seaport	3	Tremola Grenade GPb-1	true	20	60	An explosive Estrellan grenade specially designed for use with handheld grenade launchers. This modern grenade boasts a larger payload and is deadly to lingering infantry and structural supports.	HELaunchedGrenade
TheOldCaptain		Seaport	2	A3 Harpa Fragmentation Grenade	true	20	40	This anti-personnel fragmentation grenade is designed with pull-pin mechanics and a timed fuse for user safety. Serrations in the casing allow for a better grip and increased fragmentation effectiveness.	GrenadeW
TheOldCaptain		Seaport	1	250mm "Purity" Shell	true	5	5	A shell that's launched over short distances by a spigot mortar.	MortarTankAmmo
TheOldCaptain		Seaport	14	Dunne Loadlugger 3c	false		14	This standard Truck is fitted with a resource hopper in place of the standard cargo hold. This allows for a much greater capacity for resources at the expense of space for cargo. 	TruckResourceW
TheOldCaptain		Seaport	8	BMS - Packmule Flatbed	false		8	A heavy duty shipping transport truck designed by Bassett Motor Society. It’s built for hauling the heaviest of equipment over long distances with ease. 	FlatbedTruck
TheOldCaptain		Seaport	3	74b-1 Ronan Gunship	false		3	The 74b-1 Ronan Gunship specializes in roaming between larger vessels at high-speeds and boring into their hulls with ease. It’s armed with multiple tripod mounts to support the midship high-explosive mortar cannon.	GunboatW
TheOldCaptain		Seaport	2	Balfour Wolfhound 40mm	false		2	This destructive short-ranged cannon is designed for direct engagement with enemy fortifications. The Wolfhound is fitted with reinforced shielding and a 40mm barrel. 	FieldCannonW
TheOldCaptain		Seaport	2	Silverhand - Mk. IV	false		2	The Silverhand assault tank is fitted with destructive dual-barrel armaments, and heavy frontal and rear armour. Its 68mm frontal cannon is paired with a lighter 40mm turret. 	MediumTankW
TheOldCaptain		Seaport	2	Kivela Power Wheel 80-1	false		2	A Warden motorcycle used in patrols and fitted with a sidecar. The Kivela Power Wheel can also gain a momentary speed boost by burning additional fuel.	MotorcycleW
TheOldCaptain		Seaport	2	30-250 “Tisiphone” Field Cannon	false		2	The 30-250 “Tisiphone” Field Cannon is mobilized destruction incarnate. An infantry unit armed with these mortar cannons signals imminent devastation to enemy structures and emplacements.	FieldMortarC
TheOldCaptain		Seaport	1	Dunne Fuelrunner 2d	false		1	The Fuelrunner is a heavy Dunne rig designed to transport and distribute large quantities of Fuel.	TruckLiquidW
TheOldCaptain		Seaport	1	Drummond 100a	false		1	A multipurpose off-road Warden vehicle that can scout nearby targets.	ScoutVehicleW
TheOldCaptain		Seaport	1	BMS - Class 2 Mobile Auto-Crane	false		1	The Bassett Motor Society’s Class 2 Mobile Auto-Crane is used to lift and reposition vehicles and very heavy equipment.	Crane
TheOldCaptain		Seaport	1	BMS - Universal Assembly Rig	false		1	A specialized vehicle designed by the Bassett Motor Society used in the construction of large structures.	Construction
TheOldCaptain		Seaport	1	Rooster - Junkwagon	false		1	A simple towable trailer that holds common building resources.	TrailerResource
TheOldCaptain		Seaport	1	Dunne Responder 3e	false		1	The Responder Ambulance is efficient at transporting Critically Wounded Soldiers and carrying medical supplies.	AmbulanceW
TheOldCaptain		Seaport	1	Devitt Mk. III	false		1	A highly maneuverable lightweight tank. Designed for urban environments, the Devitt is fitted with a 40mm cannon.	LightTankW
TheOldCaptain		Seaport	1	R-5 “Atlas” Hauler	false		1	This standard Truck is fitted with a resource hopper in place of the standard cargo hold. This allows for a much greater capacity for resources at the expense of space for cargo.	TruckResourceC
TheOldCaptain		Seaport	1	03MM “Caster”	false		1	A motorcycle and sidecar used to patrol large areas. Speed can be boosted at the cost of additional fuel.	MotorcycleC
TheOldCaptain		Seaport	9	Material Pallet	false		9	A material pallet.	MaterialPlatform
TheOldCaptain		Seaport	8	Resource Container	false		8	A container that can carry large quantities of resources and can be transported by certain vehicles.	ResourceContainer
TheOldCaptain		Seaport	4	Shipping Container	false		4	A container for shipping very large quantities of Crates using Crane loaded vehicles. This type of container can only be unloaded at Storage Depots and Seaports.	ShippingContainer
TheOldCaptain		Seaport	4	Liquid Container	false		4	A container for storing high volumes of liquids. Nearby structures and vehicles can refill directly from this container. 	LiquidContainer
